Date,^NSEI,^BSESN,BSE-100.BO
2013-05-17,6187.2998046875,20286.119140625,6200.39013671875
2013-05-20,6156.89990234375,20223.98046875,6172.77001953125
2013-05-21,6114.10009765625,20111.609375,6131.2998046875
2013-05-22,6094.5,20062.240234375,6107.10986328125
2013-05-23,5967.0498046875,19674.330078125,5980.25
2013-05-24,5983.5498046875,19704.330078125,6003.89013671875
2013-05-27,6083.14990234375,20030.76953125,6095.31005859375
2013-05-28,6111.25,20160.8203125,6121.85009765625
2013-05-29,6104.2998046875,20147.640625,6105.18017578125
2013-05-30,6124.0498046875,20215.400390625,6120.22021484375
2013-05-31,5985.9501953125,19760.30078125,5991.10986328125
2013-06-03,5939.2998046875,19610.48046875,5956.47998046875
2013-06-04,5919.4501953125,19545.779296875,5941.669921875
2013-06-05,5923.85009765625,19568.220703125,5947.18994140625
2013-06-06,5921.39990234375,19519.490234375,5941.6298828125
2013-06-07,5881.0,19429.23046875,5901.4599609375
2013-06-10,5878.0,19441.0703125,5885.7099609375
2013-06-11,5788.7998046875,19143.0,5793.60009765625
2013-06-12,5760.2001953125,19041.130859375,5759.830078125
2013-06-13,5699.10009765625,18827.16015625,5687.81005859375
2013-06-14,5808.39990234375,19177.9296875,5791.419921875
2013-06-17,5850.0498046875,19325.869140625,5837.68017578125
2013-06-18,5813.60009765625,19223.279296875,5811.85986328125
2013-06-19,5822.25,19245.69921875,5824.7900390625
2013-06-20,5655.89990234375,18719.2890625,5660.3701171875
2013-06-21,5667.64990234375,18774.240234375,5664.669921875
2013-06-24,5590.25,18540.890625,5574.14013671875
2013-06-25,5609.10009765625,18629.150390625,5594.8701171875
2013-06-26,5588.7001953125,18552.119140625,5571.33984375
2013-06-27,5682.35009765625,18875.94921875,5659.41015625
2013-06-28,5842.2001953125,19395.810546875,5802.2998046875
2013-07-01,5898.85009765625,19577.390625,5882.240234375
2013-07-02,5857.5498046875,19463.8203125,5850.66015625
2013-07-03,5770.89990234375,19177.759765625,
2013-07-04,5836.9501953125,19410.83984375,5814.4599609375
2013-07-05,5867.89990234375,19495.8203125,5839.0498046875
2013-07-08,5811.5498046875,19324.76953125,5800.14013671875
2013-07-09,5859.0,19439.48046875,5847.0498046875
2013-07-10,5816.7001953125,19294.119140625,5811.1298828125
2013-07-11,5935.10009765625,19676.060546875,5916.6201171875
2013-07-12,6009.0,19958.470703125,5982.81005859375
2013-07-15,6030.7998046875,20034.48046875,6017.64990234375
2013-07-16,5955.25,19851.23046875,5943.85986328125
2013-07-17,5973.2998046875,19948.73046875,5953.240234375
2013-07-18,6038.0498046875,20128.41015625,6019.669921875
2013-07-19,6029.2001953125,20149.849609375,6008.7998046875
2013-07-22,6031.7998046875,20159.119140625,6006.97021484375
2013-07-23,6077.7998046875,20302.130859375,6049.89013671875
2013-07-24,5990.5,20090.6796875,5962.240234375
2013-07-25,5907.5,19804.759765625,5884.33984375
2013-07-26,5886.2001953125,19748.189453125,5855.4501953125
2013-07-29,5831.64990234375,19593.279296875,5800.18994140625
2013-07-30,5755.0498046875,19348.33984375,5713.5498046875
2013-07-31,5742.0,19345.69921875,5707.16015625
2013-08-01,5727.85009765625,19317.189453125,5678.85986328125
2013-08-02,5677.89990234375,19164.01953125,5625.8798828125
2013-08-05,5685.39990234375,19182.259765625,5641.8798828125
2013-08-06,5542.25,18733.0390625,5500.35009765625
2013-08-07,5519.10009765625,18664.880859375,5493.9501953125
2013-08-08,5565.64990234375,18789.33984375,5540.31982421875
2013-08-12,5612.39990234375,18946.98046875,5590.740234375
2013-08-13,5699.2998046875,19229.83984375,5683.14990234375
2013-08-14,5742.2998046875,19367.58984375,5723.25
2013-08-16,5507.85009765625,18598.1796875,5489.08984375
2013-08-19,5414.75,18307.51953125,5396.58984375
2013-08-20,5401.4501953125,18246.0390625,5381.080078125
2013-08-21,5302.5498046875,17905.91015625,5281.18994140625
2013-08-22,5408.4501953125,18312.939453125,5393.580078125
2013-08-23,5471.75,18519.439453125,5451.89990234375
2013-08-26,5476.5,18558.130859375,5464.169921875
2013-08-27,5287.4501953125,17968.080078125,5280.85986328125
2013-08-28,5285.0,17996.150390625,5272.9599609375
2013-08-29,5409.0498046875,18401.0390625,5388.43994140625
2013-08-30,5471.7998046875,18619.720703125,5447.14990234375
2013-09-02,5550.75,18886.130859375,
2013-09-03,5341.4501953125,18234.66015625,5338.68017578125
2013-09-04,5448.10009765625,18567.55078125,5438.77978515625
2013-09-05,5592.9501953125,18979.759765625,5571.77001953125
2013-09-06,5680.39990234375,19270.060546875,5651.81005859375
2013-09-10,5896.75,19997.099609375,5849.83984375
2013-09-11,5913.14990234375,19997.44921875,5874.830078125
2013-09-12,5850.7001953125,19781.880859375,5809.06982421875
2013-09-13,5850.60009765625,19732.759765625,5810.83984375
2013-09-16,5840.5498046875,19742.470703125,5800.9599609375
2013-09-17,5850.2001953125,19804.029296875,5813.02978515625
2013-09-18,5899.4501953125,19962.16015625,5857.68994140625
2013-09-19,6115.5498046875,20646.640625,6068.89013671875
2013-09-20,6012.10009765625,20263.7109375,5973.35986328125
2013-09-23,5889.75,19900.9609375,5863.52001953125
2013-09-24,5892.4501953125,19920.2109375,5866.14013671875
2013-09-25,5873.85009765625,19856.240234375,5849.5400390625
2013-09-26,5882.25,19893.849609375,5854.8701171875
2013-09-27,5833.2001953125,19727.26953125,5816.490234375
2013-09-30,5735.2998046875,19379.76953125,5723.39990234375
2013-10-01,5780.0498046875,19517.150390625,5763.52978515625
2013-10-03,5909.7001953125,19902.0703125,5888.10009765625
2013-10-04,5907.2998046875,19915.94921875,5891.0
2013-10-07,5906.14990234375,19895.099609375,5891.47998046875
2013-10-08,5928.39990234375,19983.609375,5910.81005859375
2013-10-09,6007.4501953125,20249.259765625,5991.0400390625
2013-10-10,6020.9501953125,20272.91015625,6006.2001953125
2013-10-11,6096.2001953125,20528.58984375,6069.02978515625
2013-10-14,6112.7001953125,20607.5390625,6088.919921875
2013-10-15,6089.0498046875,20547.619140625,6059.27978515625
2013-10-17,6045.85009765625,20415.509765625,6022.259765625
2013-10-18,6189.35009765625,20882.890625,6155.330078125
2013-10-21,6204.9501953125,20893.890625,6185.419921875
2013-10-22,6202.7998046875,20864.970703125,6188.7998046875
2013-10-23,6178.35009765625,20767.880859375,6166.0498046875
2013-10-24,6164.35009765625,20725.4296875,6151.81005859375
2013-10-25,6144.89990234375,20683.51953125,6127.39990234375
2013-10-28,6101.10009765625,20570.279296875,6079.580078125
2013-10-29,6220.89990234375,20929.009765625,6196.89013671875
2013-10-30,6251.7001953125,21033.970703125,6225.2900390625
